Table S2. Results of qPCR and sequencing analysis,,,,,,,,,,,,,,,,,,
VSP,WFID, Lab ID #,County Location,Region,Cause of death,Date of collection,Sample type,Gender,Age,Species,N1 Ct,N2 Ct,Xeno Ct,Variant,Lineage,Whole Genome Sequenced?,Nested PCR Sequenced?,GenBank
,WF21-0000587,1,Lycoming,NCR,Hunter Harvested,10/26/2021,nasal swab,F,Adult,WTD,Undetermined,Undetermined,33.42,,,,,
,WF21-0000588,2,Montour,NER,Hunter Harvested,10/26/2021,nasal swab,M,Adult,WTD,Undetermined,Undetermined,33.79,,,,,
,WF21-0000589,3,Lycoming,NCR,Hunter Harvested,10/26/2021,nasal swab,F,Adult,WTD,Undetermined,Undetermined,33.27,,,,,
VSP3514,WF21-0000591,4,Venango,NWR,Hunter Harvested,10/14/2021,Nasal Swab,M,Adult,WTD,25.60,26.84,33.59,Delta,AY.103,Yes,,OM570187
,WF21-0000727,5,Snyder,SCR,Unknown,10/20/2021,Nasal Swab,M,Adult,WTD,Undetermined,Undetermined,32.87,,,,,
VSP3608,WF21-0000728,6,Erie,NWR,Road Kill,10/5/2021,Nasal Swab,M,Adult,WTD,38.82,39.16,32.99,,,,,
,WF21-0000729,7,Lawrence,NWR,Road Kill,10/22/2021,Nasal Swab,F,Fawn,WTD,Undetermined,Undetermined,33.18,,,,,
VSP3609,WF21-0000730,8,Lawrence,NWR,Unknown,10/8/2021,Nasal Swab,M,Adult,WTD,37.44,38.59,32.72,Delta,,,Yes,ON350844
,WF21-0000718,9,Chester,SER,Hunter Harvested,10/19/2021,Nasal Swab ,M,Adult,WTD,Undetermined,Undetermined,33.33,,,,,
,WF21-0000719,10,Dauphin,SER,Hunter Harvested,10/12/2021,Nasal Swab ,F,Adult,WTD,Undetermined,Undetermined,33.05,,,,,
VSP3515,WF21-0000720,11,Luzerne,NER,Road Kill,10/28/2021,Nasal Swab ,M,Adult,WTD,15.81,15.29,32.97,Delta,AY.5,Yes,,OM570188
VSP3516,WF21-0000721,12,Luzerne,NER,Road Kill,10/22/2021,Nasal Swab ,M,Adult,WTD,16.81,15.10,33.00,Alpha,B.1.1.7,Yes,,OM570189
VSP3605,WF21-0000722,13,Pike,NER,Hunter Harvested,10/22/2021,Nasal Swab ,M,Adult,WTD,36.37,40.16,32.92,,,,,
VSP3606,WF21-0000723,14,Pike,NER,Hunter Harvested,10/23/2021,Nasal Swab ,F,Adult,WTD,36.91,38.34,32.81,,,,,
VSP3607,WF21-0000724,15,Luzerne,NER,Road Kill,10/20/2021,Nasal Swab ,F,Adult,WTD,38.92,37.59,32.90,Delta,,,Yes,ON350843
,WF21-0000725,16,Pike,NER,Hunter Harvested,10/15/2021,Nasal Swab ,F,Adult,WTD,Undetermined,Undetermined,33.28,,,,,
,WF21-0000726,17,Juniata,SCR,Hunter Harvested,10/20/2021,Nasal Swab 726,F,Yearling,WTD,Undetermined,Undetermined,32.85,,,,,
,WF21-0000731,18,Venango,NWR,Hunter Harvested,10/25/2021,Nasal Swab 731,M,Yearling,WTD,Undetermined,Undetermined,33.27,,,,,
,WF21-0000732,19,Crawford,NWR,Hunter Harvested,10/19/2021,Nasal Swab 732,M,Adult,WTD,Undetermined,Undetermined,33.42,,,,,
